fm_id,fm_name
18518,Tri Valley Ventures
8514,CEI Ventures
19870,Great North Ventures
6211,Franklin Templeton Investments
14828,Conversion Capital
21972,Cleo Capital
14535,Stellus Capital Management
8148,Prairie Capital
13477,Sozo Ventures
19660,Framework Venture Partners
9018,Guidepost Growth Equity
8183,Excellere Partners
7082,W Capital Partners
19614,Blue Earth Capital
15959,CircleUp
19709,Stonyrock Partners
1953,Houston Exponential
22015,Formentera Partners
15398,Tamiami Angel Funds
20274,TCG Capital Management
15778,Goodwater Capital
8624,Qiming Venture Partners
4013,Blackstone Strategic Partners
11019,Snow Phipps Group
19041,Sweetwater Private Equity
12199,Crescent Capital Group
14731,SparkLabs Global Ventures
22036,LSV
19081,Arbour Lane Capital Management
8457,Northern Light Venture Capital
7714,Carbon Infrastructure Partners
21279,Acrewood Holdings
7551,Activate Venture Partners
22049,AI Capital
19207,Burlington Capital
3828,Flexstone Partners
17036,Churchill
21094,i80 Group
6371,American Securities
14239,Pacific Investment Management Co. (PIMCO)
20107,Summit Rock Advisors
14052,YIELCO Investments
3671,HighVista Strategies
14785,Seavest Investment Group
15223,Expa
18467,Norland Capital
22066,Sixty8 Capital
20218,Cascade Seed Fund
12887,ESO Fund
17120,LGK Wealth Management
21007,Tecumseh Alternatives
6532,Hg
22075,Stride Consumer
19451,ShangBay Capital
18648,Laconia Capital Group
4257,Millennium Bridge Capital
19420,Satwik Ventures
17330,Flyover Capital
7608,Golub Capital Partners
22104,Ripple Ventures
20196,Telstra Ventures
19555,Contrary Capital
12979,ClearVue Partners
21401,Steward Asset Management
8129,CTI Life Sciences Fund
8410,NGP Energy Capital Management
12900,Insignia Capital Group
5552,Ridge Ventures
19704,Thurston Group
4718,Seven Bridges Advisors
19477,Feenix Venture Partners
7502,Western Technology Investment
19528,Newpath Partners
14929,Alpha Partners
19344,NewView Capital
19778,SixThirty
17792,Tetragon Financial Group
15609,BluePointe Capital Management
17729,Cantos Ventures
18838,Further Global Capital Management
18623,Monta Vista Capital
6572,Lexington Partners
6645,Primus Capital
16932,1776
21967,PSG
22135,OVN Capital
15022,World Innovation Lab
2097,Avadis Vorsorge AG
19287,1984 Ventures
11431,Searchlight Capital Partners
8794,Bay Hills Capital
6354,ABRY Partners
16236,Dentsu Group Inc.
15177,AF Ventures
10630,Solamere Capital
16632,BroadVail Capital Partners
14801,Altimeter Capital Management
17290,Trucks Venture
22151,Pearl Diver Capital
18187,Diagram
16554,GreenSky Capital
22152,BKR Capital
20456,Acrew Capital
5804,Almanac Realty Investors
6715,Trident Capital
7414,5AM Ventures
20423,Entrepreneurial Equity Partners
20984,Aspireon Wealth Advisors
22160,Avenue Growth Partners
22169,Agya Ventures
9400,"CapStone Group, LLC"
18765,TheVentureCity
7298,Leeds Equity Partners
1706,Spur Capital Partners
22187,Academy Investor Network
19864,Circulate Capital
6022,Fiera Capital
14176,Deerpath Capital Management
12667,Persistence Capital Partners
18460,Digital Alpha Advisors
11596,Cordiant Capital
19334,Entrepreneur First
22195,Yellow Point Equity Partners
18443,Crosstimbers Capital Group
14195,Y Combinator
19176,Canyon CLO Advisors
3596,Brandywine Trust Group
6495,Foundation Capital
22201,Ethos Invest
20877,Cordatus Capital
21679,Sycamore Tree Capital Partners
16757,Vistara Growth
20235,GHK Capital Partners
11727,NovaQuest Capital Management
17905,Union Capital
22206,Red Arts Capital
22207,H Venture Capital
19919,InnovaHealth Partners
4574,Lightbank
16797,Powerplant Ventures
9012,Capitala Group
16572,Independent Bankers Capital Funds
22209,Aria Growth Partners
8759,Thoma Bravo
8664,Longitude Capital
14172,Creation Investments
20777,Logos Capital
15757,Arrowroot Capital Management
19779,Aviator Capital Management
19893,Breakwater Management
20091,Griffin Gaming Partners
18300,Princeville Capital
6652,Quad-C Management
7127,MidOcean Partners
8945,Angeleno Group
22218,Screendoor Partners
20365,Aligned Climate Capital
4763,Russell Investments
572,Schroders Capital
20605,Arena Investors
13407,Heartwood Partners
22222,Act One Ventures
22223,Vocap Partners
22225,Renegade Partners
6737,Walden International
6759,Lime Rock Partners
19331,Capital Constellation
20233,Amity Ventures
21087,Kerberos Capital Management
14588,Revelstoke Capital Partners
18915,Sky9 Capital
11035,BMW i Ventures
8414,Centerfield Capital Partners
22259,WestCap
22260,Mammoth Scientific
15462,Muzinich & Co.
19974,Gigafund
17505,NewRoad Capital Partners
22266,Chaac Ventures
11001,Castle Creek Capital
16779,Riata Capital Group
13730,Maven Ventures
7775,New Markets Venture Partners
16848,Reach Capital
19391,Arcadian Capital Management
20021,Goat Rodeo Capital
3122,TrueBridge Capital Partners
16877,Athyrium Capital Management
11447,Top Tier Capital Partners
22267,Blisce
20325,West Monroe
14002,Clarion Capital Partners
18678,GPI Capital
15784,Owl Ventures
19954,ONEVC
14771,Montage Ventures
17779,K2VC
18669,1confirmation
20185,C2 Ventures
20426,Moxxie Ventures
20843,Chapford Capital Group
10954,Jacobs Asset Management
18313,Pivotal BioVenture Partners
