fm_fund_history_id ,fm_id,fund_id,vintage_year,region,sector,strategy,fund_size_amt,fund_currency,target_fund_size_amt,target_fund_size_currency
7480,6635,37533,2006,Western Europe,Diversified,Fund of Funds / Co-Investment,100900000.0,USD,0.0,USD
18472,6635,37534,2007,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,384510000.0,USD,0.0,USD
20803,6635,37534,2007,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,384510000.0,USD,0.0,USD
11921,6635,37534,2007,Latin America,Diversified,Fund of Funds / Co-Investment,384510000.0,USD,0.0,USD
12580,6635,37534,2007,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,384510000.0,USD,0.0,USD
7937,6635,37534,2007,North America,Diversified,Fund of Funds / Co-Investment,384510000.0,USD,0.0,USD
21319,6635,37534,2007,Western Europe,Diversified,Fund of Funds / Co-Investment,384510000.0,USD,0.0,USD
17228,6635,37535,2007,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,151350000.0,USD,0.0,USD
19756,6635,37535,2007,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,151350000.0,USD,0.0,USD
20091,6635,37535,2007,Latin America,Diversified,Fund of Funds / Co-Investment,151350000.0,USD,0.0,USD
24008,6635,37535,2007,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,151350000.0,USD,0.0,USD
11530,6635,37535,2007,North America,Diversified,Fund of Funds / Co-Investment,151350000.0,USD,0.0,USD
1873,6635,37535,2007,Western Europe,Diversified,Fund of Funds / Co-Investment,151350000.0,USD,0.0,USD
17227,6635,37536,2007,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,141260000.0,USD,0.0,USD
30201,6635,37536,2007,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,141260000.0,USD,0.0,USD
17758,6635,37536,2007,Latin America,Diversified,Fund of Funds / Co-Investment,141260000.0,USD,0.0,USD
4371,6635,37536,2007,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,141260000.0,USD,0.0,USD
7615,6635,37536,2007,North America,Diversified,Fund of Funds / Co-Investment,141260000.0,USD,0.0,USD
4820,6635,37536,2007,Western Europe,Diversified,Fund of Funds / Co-Investment,141260000.0,USD,0.0,USD
22067,6635,37537,2007,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,346540000.0,USD,0.0,USD
28957,6635,37537,2007,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,346540000.0,USD,0.0,USD
2603,6635,37537,2007,Latin America,Diversified,Fund of Funds / Co-Investment,346540000.0,USD,0.0,USD
20403,6635,37537,2007,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,346540000.0,USD,0.0,USD
25274,6635,37537,2007,North America,Diversified,Fund of Funds / Co-Investment,346540000.0,USD,0.0,USD
26242,6635,37537,2007,Western Europe,Diversified,Fund of Funds / Co-Investment,346540000.0,USD,0.0,USD
4624,6635,37526,2005,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,234230000.0,USD,0.0,USD
17726,6635,37526,2005,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,234230000.0,USD,0.0,USD
27569,6635,37526,2005,Latin America,Diversified,Fund of Funds / Co-Investment,234230000.0,USD,0.0,USD
2387,6635,37526,2005,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,234230000.0,USD,0.0,USD
18760,6635,37526,2005,North America,Diversified,Fund of Funds / Co-Investment,234230000.0,USD,0.0,USD
9169,6635,37526,2005,Western Europe,Diversified,Fund of Funds / Co-Investment,234230000.0,USD,0.0,USD
6305,6635,37527,2006,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,251400000.0,USD,0.0,USD
18913,6635,37527,2006,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,251400000.0,USD,0.0,USD
9704,6635,37527,2006,Latin America,Diversified,Fund of Funds / Co-Investment,251400000.0,USD,0.0,USD
27994,6635,37527,2006,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,251400000.0,USD,0.0,USD
26391,6635,37527,2006,North America,Diversified,Fund of Funds / Co-Investment,251400000.0,USD,0.0,USD
22641,6635,37527,2006,Western Europe,Diversified,Fund of Funds / Co-Investment,251400000.0,USD,0.0,USD
24666,6635,37528,2006,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,46240000.0,USD,0.0,USD
22259,6635,37528,2006,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,46240000.0,USD,0.0,USD
25433,6635,37528,2006,Latin America,Diversified,Fund of Funds / Co-Investment,46240000.0,USD,0.0,USD
8277,6635,37528,2006,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,46240000.0,USD,0.0,USD
27692,6635,37528,2006,North America,Diversified,Fund of Funds / Co-Investment,46240000.0,USD,0.0,USD
28086,6635,37528,2006,Western Europe,Diversified,Fund of Funds / Co-Investment,46240000.0,USD,0.0,USD
5608,6635,37529,2006,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,9050000.0,USD,0.0,USD
3791,6635,37529,2006,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,9050000.0,USD,0.0,USD
19703,6635,37529,2006,Latin America,Diversified,Fund of Funds / Co-Investment,9050000.0,USD,0.0,USD
12537,6635,37529,2006,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,9050000.0,USD,0.0,USD
18847,6635,37529,2006,North America,Diversified,Fund of Funds / Co-Investment,9050000.0,USD,0.0,USD
20154,6635,37529,2006,Western Europe,Diversified,Fund of Funds / Co-Investment,9050000.0,USD,0.0,USD
5803,6635,37530,2006,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,1310000000.0,USD,0.0,USD
4140,6635,37530,2006,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,1310000000.0,USD,0.0,USD
16711,6635,37530,2006,Latin America,Diversified,Fund of Funds / Co-Investment,1310000000.0,USD,0.0,USD
2788,6635,37530,2006,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,1310000000.0,USD,0.0,USD
3702,6635,37530,2006,North America,Diversified,Fund of Funds / Co-Investment,1310000000.0,USD,0.0,USD
18444,6635,37530,2006,Western Europe,Diversified,Fund of Funds / Co-Investment,1310000000.0,USD,0.0,USD
4305,6635,37531,2006,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,80720000.0,USD,0.0,USD
27485,6635,37531,2006,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,80720000.0,USD,0.0,USD
10905,6635,37531,2006,Latin America,Diversified,Fund of Funds / Co-Investment,80720000.0,USD,0.0,USD
22421,6635,37531,2006,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,80720000.0,USD,0.0,USD
3779,6635,37531,2006,North America,Diversified,Fund of Funds / Co-Investment,80720000.0,USD,0.0,USD
19812,6635,37531,2006,Western Europe,Diversified,Fund of Funds / Co-Investment,80720000.0,USD,0.0,USD
2268,6635,37519,2004,North America,Diversified,Fund of Funds / Co-Investment,906000000.0,USD,0.0,USD
16752,6635,37520,2004,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,40300000.0,USD,0.0,USD
19391,6635,37520,2004,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,40300000.0,USD,0.0,USD
25329,6635,37520,2004,Latin America,Diversified,Fund of Funds / Co-Investment,40300000.0,USD,0.0,USD
4513,6635,37520,2004,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,40300000.0,USD,0.0,USD
13491,6635,37520,2004,North America,Diversified,Fund of Funds / Co-Investment,40300000.0,USD,0.0,USD
15752,6635,37520,2004,Western Europe,Diversified,Fund of Funds / Co-Investment,40300000.0,USD,0.0,USD
17427,6635,37521,2005,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,100640000.0,USD,0.0,USD
20884,6635,37521,2005,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,100640000.0,USD,0.0,USD
24437,6635,37521,2005,Latin America,Diversified,Fund of Funds / Co-Investment,100640000.0,USD,0.0,USD
29787,6635,37521,2005,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,100640000.0,USD,0.0,USD
5836,6635,37521,2005,North America,Diversified,Fund of Funds / Co-Investment,100640000.0,USD,0.0,USD
12091,6635,37521,2005,Western Europe,Diversified,Fund of Funds / Co-Investment,100640000.0,USD,0.0,USD
26234,6635,37523,2005,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,90810000.0,USD,0.0,USD
13021,6635,37523,2005,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,90810000.0,USD,0.0,USD
14711,6635,37523,2005,Latin America,Diversified,Fund of Funds / Co-Investment,90810000.0,USD,0.0,USD
10563,6635,37523,2005,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,90810000.0,USD,0.0,USD
9717,6635,37523,2005,North America,Diversified,Fund of Funds / Co-Investment,90810000.0,USD,0.0,USD
2091,6635,37523,2005,Western Europe,Diversified,Fund of Funds / Co-Investment,90810000.0,USD,0.0,USD
4570,6635,37524,2005,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,160880000.0,USD,0.0,USD
12612,6635,37524,2005,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,160880000.0,USD,0.0,USD
2940,6635,37524,2005,Latin America,Diversified,Fund of Funds / Co-Investment,160880000.0,USD,0.0,USD
2457,6635,37524,2005,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,160880000.0,USD,0.0,USD
14479,6635,37524,2005,North America,Diversified,Fund of Funds / Co-Investment,160880000.0,USD,0.0,USD
5346,6635,37524,2005,Western Europe,Diversified,Fund of Funds / Co-Investment,160880000.0,USD,0.0,USD
23426,6635,37525,2005,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,100900000.0,USD,0.0,USD
21077,6635,37525,2005,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,100900000.0,USD,0.0,USD
14392,6635,37525,2005,Latin America,Diversified,Fund of Funds / Co-Investment,100900000.0,USD,0.0,USD
27055,6635,37525,2005,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,100900000.0,USD,0.0,USD
19691,6635,37525,2005,North America,Diversified,Fund of Funds / Co-Investment,100900000.0,USD,0.0,USD
8350,6635,37525,2005,Western Europe,Diversified,Fund of Funds / Co-Investment,100900000.0,USD,0.0,USD
27166,6635,27629,2013,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,955350000.0,USD,955350000.0,USD
11986,6635,27629,2013,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,955350000.0,USD,955350000.0,USD
22556,6635,27629,2013,Latin America,Diversified,Fund of Funds / Co-Investment,955350000.0,USD,955350000.0,USD
4444,6635,27629,2013,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,955350000.0,USD,955350000.0,USD
11753,6635,27629,2013,North America,Diversified,Fund of Funds / Co-Investment,955350000.0,USD,955350000.0,USD
29051,6635,27629,2013,Western Europe,Diversified,Fund of Funds / Co-Investment,955350000.0,USD,955350000.0,USD
29259,6635,30880,2014,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,6340000000.0,USD,0.0,USD
15050,6635,30880,2014,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,6340000000.0,USD,0.0,USD
27923,6635,30880,2014,Latin America,Diversified,Fund of Funds / Co-Investment,6340000000.0,USD,0.0,USD
18103,6635,30880,2014,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,6340000000.0,USD,0.0,USD
1683,6635,30880,2014,North America,Diversified,Fund of Funds / Co-Investment,6340000000.0,USD,0.0,USD
19654,6635,30880,2014,Western Europe,Diversified,Fund of Funds / Co-Investment,6340000000.0,USD,0.0,USD
20175,6635,33840,2015,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,400000000.0,USD,400000000.0,USD
10080,6635,33840,2015,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,400000000.0,USD,400000000.0,USD
30148,6635,33840,2015,Latin America,Diversified,Fund of Funds / Co-Investment,400000000.0,USD,400000000.0,USD
17666,6635,33840,2015,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,400000000.0,USD,400000000.0,USD
5678,6635,33840,2015,North America,Diversified,Fund of Funds / Co-Investment,400000000.0,USD,400000000.0,USD
18049,6635,33840,2015,Western Europe,Diversified,Fund of Funds / Co-Investment,400000000.0,USD,400000000.0,USD
