investor_id,investor_name
922,Alfred Mann Foundation
923,Algo Capital
924,Algonquin Advisors
925,Ali Capital
926,Align Impact
927,Aligned Partners
928,Alinian Capital Group
929,Alitus Partners
930,Alkek & Williams Foundation
931,Allectus Capital
932,Allegiance Capital
933,Allegion Ventures
934,Allegra Partners
935,Alliance Healthcare Foundation
936,Allied Minds (LON: ALM)
937,Alles Ventures
938,AllVP
939,Almanac Fund
940,Almanac Insights
941,Alpha Intelligence Capital Fund
942,Alpha Venture Capital
943,Alpheus Capital
944,Alpine Investment Group
945,Alpine Meridian
946,ALS Investment Fund
947,Alsis Funds
948,Alsop Louie Partners
949,Alta Community Investment
950,Alta lake Equity Partners
951,Altair Management Partners
952,Althea Foundation
953,Altitude Investment Management
954,Altitude life Science Ventures
955,Alupka Asset Management
956,Amazon Alexa Fund
957,American College of Cardiology Foundation
958,American Discovery Capital
959,American European Insurance Company
960,American Kennel Club
961,Ames Seed Capital
962,AMI Asset Management
963,Amplify Capital
964,Amplitude Ventures
965,Amzak Health
966,Anagenesis Capital Partners
967,Andre Agassi Foundation for Education
968,Andrew Black
969,Angeli Parvi
970,Angell Foundation
971,Ann Arbor SPARK
972,Anthem Venture Partners
973,Anthony Lacavera
974,Anthony Pritzker Family Foundation
975,APEXVentures
976,Aphelion Capital
977,Apollo Alternative Assets
978,Apollo Health Ventures
979,Appalachian State University Foundation
980,Appletree Capital
981,Applied Ventures
982,aPriori Capital Partners
983,Arago Capital
984,Arbel Growth Partners
985,Arbor Capital Management
986,Arbor Partners
987,ARC Angel Fund
988,Arcadea Group
989,Arcapita
990,ArcheMatrix Ventures
991,Arel ern Ventures
992,Arcus Ventures
993,Arden Group
994,Arena Ventures
995,Arenberg Holdings
996,Aria Partners
997,Aries Investment Advisors
998,Aristos Ventures
999,Arixa Capital Advisors
1000,Arizona Commerce Authority
1001,Arkley Brine VC
1002,Armory Capital
1003,Armory Group
1004,Armory Square Ventures
1005,Army Applications laboratory
1006,Array Ventures
1007,Arrive (New York)
1008,Arrive BioVentures
1009,Arrowhead Innovation Fund
1010,Artist Capital
1011,Ascent Biomedical Ventures
1012,Ascentia Capital Partners
1013,Ashland University Endowment
1014,Aspen wealth Management
1015,"Association for Slavic, East European and Eurasian Studies"
1016,Association of University Physicians
1017,Assurant Ventures
1018,Astarte Ventures
1019,Astral Capital
1020,Asymmetry Ventures
1021,at.inc
1022,Atland Ventures
1023,Atlantic Canada Opportunities Agency
1024,Atlas Capital Advisors
1025,Atlas Capital Ventures
1026,Atlas Peak Capital
1027,Atrium Capital
1028,Atwater Capital
1029,Auctus Global Capital
1030,Audrey's Kitchen
1031,Augury Capital Partners
1032,Automation Alley
1033,AV8 Ventures
1034,AVAC Group
1035,Avalancha Ventures
1036,Avanz Capital
1037,AVentures Capital
1038,Avid Park Ventures
1039,Avid Ventures
1040,Avidbank (PlNX: AVBH)
