fm_name,fm_id
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
Newark Venture Partners,16853
Intermediate Capital Group,6547
Cordillera Investment Partners,16907
Round13 Capital,12929
Round13 Capital,12929
Hunniwell Lake Ventures,20522
Hunniwell Lake Ventures,20522
Hunniwell Lake Ventures,20522
BlackRock,867
Ericsenz Capital,19873
Ericsenz Capital,19873
North Coast Venture,15318
North Coast Venture,15318
Active Capital,18664
Active Capital,18664
Oak Hill Advisors,12574
&vest,20536
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
Finistere Ventures,16597
122 West Ventures,18228
Footbridge Partners,20549
Barings,2161
Cobro Ventures,20560
Cobro Ventures,20560
Abbott Capital Management,6350
Abbott Capital Management,6350
Abbott Capital Management,6350
Abbott Capital Management,6350
Abbott Capital Management,6350
Abbott Capital Management,6350
Sortis,20562
Sortis,20562
Rising Tide,20572
Blu Family Office,19144
Blu Family Office,19144
Blu Family Office,19144
Blu Family Office,19144
Blu Family Office,19144
Blu Family Office,19144
PPB Capital Partners,18204
ff Venture Capital,13357
Operand Group,17810
Peninsula Capital Partners,6637
Peninsula Capital Partners,6637
Peninsula Capital Partners,6637
Peninsula Capital Partners,6637
Altaris Capital Partners,12358
Altaris Capital Partners,12358
Czech Asset Management,9432
Czech Asset Management,9432
Czech Asset Management,9432
8VC,17030
Lateral Investment Management,18085
Lateral Investment Management,18085
