fm_strategy_id,fm_id,regions,strategy
392,1952,Latin America,Other
1499,1952,Middle East/Africa,Other
1088,1952,Western Europe,Other
100,1952,North America,Secondaries
295,1952,Asia-Pacific,Secondaries
759,1952,Central/Eastern Europe,Secondaries
71,1952,Latin America,Secondaries
993,1952,Middle East/Africa,Secondaries
863,1952,Western Europe,Secondaries
263,1952,North America,Venture Capital / Growth Equity
605,1952,Asia-Pacific,Venture Capital / Growth Equity
702,1952,Central/Eastern Europe,Venture Capital / Growth Equity
1287,1952,Latin America,Venture Capital / Growth Equity
176,1952,Middle East/Africa,Venture Capital / Growth Equity
