lp_sector_id,lp_id,sector,has_appetite
5000,42,Clean Tech / Renewable,False
42723,42,Consumer Goods,False
24577,42,Diversified,True
3148,42,Energy / Oil & Gas,False
54272,42,Financial Services,False
40143,42,Healthcare,False
24882,42,Industrials,False
16468,42,Leisure,False
44721,42,Manufacturing,False
31999,42,Natural Resources,False
23819,42,Other,False
18619,42,Retail,False
25178,42,TMT,False
3443,42,Transport,False
60632,45,Agribusiness,False
20454,45,Biotech / Life Science,False
35677,45,Business Services,False
838,45,Clean Tech / Renewable,False
28517,45,Consumer Goods,False
2680,45,Diversified,True
7221,45,Energy / Oil & Gas,False
7906,45,Financial Services,False
53878,45,Healthcare,False
52460,45,Industrials,False
