,type
1539,Foundation / Endowment
1540,Private Pension Fund
1541,Family Office
1542,Foundation / Endowment
1543,Foundation / Endowment
1544,Public Pension Fund
1547,Family Office
1548,Family Office
1549,Family Office
1550,Family Office
1551,Asset Manager
1552,Family Office
1554,Family Office
1555,Investment Firm
1556,Gatekeepers
1557,Asset Manager
1558,Investment Firm
1559,Investment Firm
1560,Family Office
1561,Foundation / Endowment
1562,Family Office
1563,Asset Manager
1564,Family Office
1565,Investment Firm
1566,Family Office
1567,Family Office
1568,Asset Manager
1570,Gatekeepers
1571,Family Office
1572,Family Office
1573,Bank / Financial Services
1576,Asset Manager
1577,Family Office
1578,Gatekeepers
1579,Family Office
1581,Foundation / Endowment
1582,Family Office
1583,Family Office
1584,Family Office
1585,Foundation / Endowment
1586,Investment Firm
1587,Public Pension Fund
1588,Asset Manager
1589,Asset Manager
1590,Family Office
1591,Gatekeepers
1592,Investment Firm
1593,Foundation / Endowment
1594,Foundation / Endowment
1596,Foundation / Endowment
1597,Asset Manager
1598,Asset Manager
1599,Investment Firm
1600,Foundation / Endowment
1601,Bank / Financial Services
1604,Government Related Investment Organisation
1605,Bank / Financial Services
1606,Family Office
1608,Family Office
1609,Investment Firm
1610,Investment Firm
1612,Investment Firm
1614,Asset Manager
1616,Family Office
1617,Investment Firm
1618,Fund of Funds Manager
1619,Fund of Funds Manager
1620,Government Related Investment Organisation
1621,Bank / Financial Services
1622,Public Pension Fund
1623,Public Pension Fund
1624,Independent Firm
1625,Family Office
1626,Independent Firm
1627,Family Office
1628,Public Pension Fund
1629,Investment Firm
1630,Public Pension Fund
1631,Foundation / Endowment
1632,Family Office
1633,Public Pension Fund
1634,Asset Manager
1636,Family Office
1637,Family Office
1638,Corporate
1640,Investment Firm
1643,Asset Manager
1644,Asset Manager
1645,Family Office
1647,Asset Manager
1648,Bank / Financial Services
1649,Foundation / Endowment
1650,Fund of Funds Manager
1652,Asset Manager
1653,Gatekeepers
1654,Asset Manager
1657,Family Office
1659,Gatekeepers
1661,Private Pension Fund
1662,Investment Firm
1665,Family Office
1667,Investment Firm
1671,Bank / Financial Services
1680,Investment Firm
1681,Family Office
1684,Government Related Investment Organisation
1685,Government Related Investment Organisation
1686,Government Related Investment Organisation
1687,Family Office
1688,Private Pension Fund
1690,Bank / Financial Services
1693,Bank / Financial Services
1694,Bank / Financial Services
1695,Corporate
1698,Bank / Financial Services
1699,Foundation / Endowment
1701,Family Office
1702,Bank / Financial Services
1703,Foundation / Endowment
1704,Bank / Financial Services
1705,Bank / Financial Services
1706,Foundation / Endowment
1707,Bank / Financial Services
1708,Foundation / Endowment
1709,Corporate
1710,Foundation / Endowment
1711,Foundation / Endowment
1712,Foundation / Endowment
1713,Foundation / Endowment
1714,Corporate
1715,Asset Manager
1718,Corporate
1719,Foundation / Endowment
1720,Foundation / Endowment
1721,Foundation / Endowment
1722,Investment Firm
1724,Public Pension Fund
1725,Foundation / Endowment
1729,Foundation / Endowment
1731,Fund of Funds Manager
1733,Corporate
1734,Asset Manager
1736,Foundation / Endowment
1737,Foundation / Endowment
1738,Foundation / Endowment
1739,Foundation / Endowment
1740,Public Pension Fund
1741,Investment Firm
1742,Foundation / Endowment
1743,Public Pension Fund
1744,Foundation / Endowment
1745,Private Pension Fund
1747,Insurance Company
1748,Investment Firm
1749,Foundation / Endowment
1750,Foundation / Endowment
1751,Foundation / Endowment
1753,Foundation / Endowment
1754,Foundation / Endowment
1758,Foundation / Endowment
1759,Corporate
1761,Foundation / Endowment
1765,Foundation / Endowment
1766,Foundation / Endowment
1768,Foundation / Endowment
1769,Foundation / Endowment
1770,Corporate
1771,Foundation / Endowment
1772,Corporate
1773,Corporate
1774,Foundation / Endowment
1775,Investment Firm
1777,Foundation / Endowment
1778,Public Pension Fund
1779,Bank / Financial Services
1782,Investment Firm
1785,Corporate
1786,Private Pension Fund
1787,Foundation / Endowment
1789,Corporate
1790,Public Pension Fund
1791,Corporate
1794,Foundation / Endowment
1795,Public Pension Fund
1796,Foundation / Endowment
1798,Foundation / Endowment
1799,Foundation / Endowment
1800,Investment Firm
1801,Asset Manager
1802,Foundation / Endowment
1804,Foundation / Endowment
1805,Gatekeepers
1807,Public Pension Fund
1808,Foundation / Endowment
1810,Investment Firm
1811,Foundation / Endowment
1812,Foundation / Endowment
1813,Foundation / Endowment
1814,Bank / Financial Services
1815,Bank / Financial Services
1816,Foundation / Endowment
1817,Bank / Financial Services
1818,Bank / Financial Services
1819,Bank / Financial Services
1820,Foundation / Endowment
1821,Corporate
1823,Corporate
1824,Foundation / Endowment
1825,Private Pension Fund
1826,Investment Firm
1827,Foundation / Endowment
1828,Gatekeepers
1831,Foundation / Endowment
1832,Foundation / Endowment
1834,Corporate
1835,Foundation / Endowment
1837,Foundation / Endowment
1838,Foundation / Endowment
1840,Foundation / Endowment
1841,Family Office
1842,Asset Manager
1843,Asset Manager
1844,Asset Manager
1848,Foundation / Endowment
1850,Foundation / Endowment
1851,Foundation / Endowment
1852,Foundation / Endowment
1854,Family Office
1855,Foundation / Endowment
1856,Public Pension Fund
1857,Public Pension Fund
1859,Foundation / Endowment
1860,Fund of Funds Manager
1862,Bank / Financial Services
1863,Foundation / Endowment
1864,Foundation / Endowment
1865,Insurance Company
1866,Foundation / Endowment
1867,Public Pension Fund
1868,Investment Firm
1871,Foundation / Endowment
1872,Public Pension Fund
1874,Public Pension Fund
1876,Foundation / Endowment
1878,Asset Manager
1879,Corporate
1880,Foundation / Endowment
1881,Public Pension Fund
1882,Asset Manager
1883,Public Pension Fund
1884,Government Related Investment Organisation
1886,Public Pension Fund
1887,Private Pension Fund
1889,Family Office
1890,Foundation / Endowment
1891,Insurance Company
1892,Corporate
1893,Foundation / Endowment
1894,Corporate
1895,Corporate
1896,Foundation / Endowment
1898,Foundation / Endowment
1900,Private Pension Fund
1903,Foundation / Endowment
1904,Foundation / Endowment
1905,Foundation / Endowment
1906,Foundation / Endowment
1907,Investment Firm
1908,Foundation / Endowment
1909,Foundation / Endowment
1910,Foundation / Endowment
1911,Foundation / Endowment
1912,Foundation / Endowment
1913,Foundation / Endowment
1914,Foundation / Endowment
1916,Foundation / Endowment
1917,Corporate
1918,Foundation / Endowment
1919,Foundation / Endowment
1920,Foundation / Endowment
1921,Corporate
1922,Foundation / Endowment
1923,Foundation / Endowment
1924,Foundation / Endowment
1925,Public Pension Fund
1926,Corporate
1927,Corporate
1928,Corporate
1930,Public Pension Fund
1932,Public Pension Fund
1933,Public Pension Fund
1934,Corporate
1935,Foundation / Endowment
1936,Foundation / Endowment
1939,Foundation / Endowment
1940,Foundation / Endowment
1942,Foundation / Endowment
1944,Foundation / Endowment
1945,Investment Firm
1946,Investment Firm
1947,Foundation / Endowment
1949,Foundation / Endowment
1950,Public Pension Fund
1951,Foundation / Endowment
1952,Foundation / Endowment
1954,Investment Firm
1955,Foundation / Endowment
1956,Asset Manager
1957,Foundation / Endowment
1958,Foundation / Endowment
1960,Family Office
1961,Foundation / Endowment
1962,Foundation / Endowment
1963,Public Pension Fund
1964,Corporate
1965,Investment Firm
1966,Foundation / Endowment
1967,Asset Manager
1968,Asset Manager
1969,Foundation / Endowment
